tconst;title;primaryTitle;startYear;genres;production_countries;popularity;poster_path;actors;directors;averageRating;numVotes;combined_features;index
tt11782684;Convalescent;Convalescent;2021;Drama;Argentina;0.6;/51mohUarX0KV0NwRi7ve7S7LBGX.jpg;Marisol Otero, Sebastián Sinnott, Graciela Muñoz, Francisco Ortiz, Victoria Mammoliti, Miguel Di Lemme, Mariana Petracca, Lucas Montagna, Victoria Pepe, Justina Bergoglio;Matías De Leis Correa;8.7;69;Convalescent Drama Marisol Otero, Sebastián Sinnott, Graciela Muñoz, Francisco Ortiz, Victoria Mammoliti, Miguel Di Lemme, Mariana Petracca, Lucas Montagna, Victoria Pepe, Justina Bergoglio Matías De Leis Correa;23
tt1870570;Neighbours;Neighbours;2010;Comedy,Crime;Argentina;0.6;/5dV1hkbY37z9NSD4VUBoAlUbV5k.jpg;Nicolás Albamonte, Hilda Bernard, Sergio Boris, Pablo Cerri, Nicolás Condito, Mercedes Funes, José Glusman, Carlos Kaspar, Alejandro Magnone, Analía Malvido;Rodolfo Durán;8.7;11;Neighbours Comedy,Crime Nicolás Albamonte, Hilda Bernard, Sergio Boris, Pablo Cerri, Nicolás Condito, Mercedes Funes, José Glusman, Carlos Kaspar, Alejandro Magnone, Analía Malvido Rodolfo Durán;24
tt4507568;Parque Central;Parque Central;2017;Documentary;Guatemala;0.6;/97d7Kv0r4wTTi0xrCPR5ieMfeuf.jpg;;Ricardo S. Gaona;8.7;6;Parque Central Documentary  Ricardo S. Gaona;25
tt13992922;Flow Calle;Flow Calle;2022;Drama,Music;Dominican Republic;5.456;/kEilwAIxeEchWu28Xi6qNZ8CvCJ.jpg;Shalim Ortiz, Fabiony Sylvain, Lincoln Palomeque, Celines Toribio, Clarissa Molina, Carolyn Aquino, Marta González Rodin, David Maler, Miguel Céspedes, Yandel;Frank Perozo;8.6;101;Flow Calle Drama,Music Shalim Ortiz, Fabiony Sylvain, Lincoln Palomeque, Celines Toribio, Clarissa Molina, Carolyn Aquino, Marta González Rodin, David Maler, Miguel Céspedes, Yandel Frank Perozo;26
tt3037676;First Lady of the Revolution;First Lady of the Revolution;2016;Adventure,Biography,Documentary;Costa Rica, United States of America;0.6;/v0k4gX60xsEig9SJsDXbc4pEbvC.jpg;;Andrea Kalin;8.6;31;First Lady of the Revolution Adventure,Biography,Documentary  Andrea Kalin;27
tt2536884;Passfire;Passfire;2016;Adventure,Documentary;Canada, United States of America, United Kingdom, China, Japan, Spain, Mexico;1.03;/pJW7kL7ff61Os7FRMGSKiaZXT6P.jpg;;Jesse Veverka;8.6;30;Passfire Adventure,Documentary  Jesse Veverka;28
tt1924410;Grandmothers of Revolution;Grandmothers of Revolution;2006;Documentary,Family;Cuba, Macedonia, Netherlands, Slovenia;0.6;/1bAW5IB0JE8cYBd1WIli4VWFvwg.jpg;;Petra Seliskar;8.6;11;Grandmothers of Revolution Documentary,Family  Petra Seliskar;29
tt6444360;Structural Amendment;Structural Amendment;2016;Drama;Peru;0.0;/g8O7QaVW24c8sI7XZGy7YI8GTLa.jpg;Alexandra Bianchi Cruzado, Alberto Cortez Casuso, Daniel Dillon, Fernando Pasco, Connie Scheuermann Velarde;Eduardo Gustavo Ramos Olivera;8.6;9;Structural Amendment Drama Alexandra Bianchi Cruzado, Alberto Cortez Casuso, Daniel Dillon, Fernando Pasco, Connie Scheuermann Velarde Eduardo Gustavo Ramos Olivera;30
tt26934645;Coldplay: Music of the Spheres - Live at River Plate;Coldplay: Music of the Spheres - Live at River Plate;2023;Music;Argentina, United Kingdom;2.224;/fXpr5HB0W6x4phZbxKodyK9Yirl.jpg;Guy Berryman, Jon Buckland, Will Champion, Chris Martin;Paul Dugdale;8.5;242;Coldplay: Music of the Spheres - Live at River Plate Music Guy Berryman, Jon Buckland, Will Champion, Chris Martin Paul Dugdale;31
tt1880259;La salsa Cubana;La salsa Cubana;2011;Documentary,History,Music;Cuba;0.6;/kxq0LqLqggP1EX1KSGwFOV4dcv4.jpg;;Eric Joseph Johnson, Sarita Streng;8.5;40;La salsa Cubana Documentary,History,Music  Eric Joseph Johnson, Sarita Streng;32
tt2880596;Bounce: How the Ball Taught the World to Play;Bounce: How the Ball Taught the World to Play;2015;Documentary,History,Sport;United Kingdom, United States of America, Brazil, Congo, India, Ireland, Italy, Mexico;0.6;/iAsBa7Df0nGLMmFG22C9DVD0qtZ.jpg;Gordon Burghardt;Jerome Thelia;8.5;38;Bounce: How the Ball Taught the World to Play Documentary,History,Sport Gordon Burghardt Jerome Thelia;33
tt3689012;The Years of Fierro;The Years of Fierro;2014;Documentary;Canada, Germany, Mexico, United States of America;0.6;/hNnBUwbw34gHjFEziT5OYbPL4ot.jpg;;Santiago Esteinou;8.5;21;The Years of Fierro Documentary  Santiago Esteinou;34
tt5119108;Highway 5;Highway 5;2016;Comedy,Drama;Mexico;0.6;/3NSHwgNLdfIpc3U7y9YDS3qi15f.jpg;Maya Akbar, Sunny Boparai, Leonel Claude, Joaquin Cruz, Jose De Jesus Martinez, Sooba Deol, Aman Dhaliwal, Jasmine Ejan, Sarah Galistatos, Ekaterina Ivanova;Kavi Raz;8.4;157;Highway 5 Comedy,Drama Maya Akbar, Sunny Boparai, Leonel Claude, Joaquin Cruz, Jose De Jesus Martinez, Sooba Deol, Aman Dhaliwal, Jasmine Ejan, Sarah Galistatos, Ekaterina Ivanova Kavi Raz;35
tt2517192;The Mountain;The Mountain;2013;Adventure,Documentary,Sport;Dominican Republic;0.844;/nZXQ6GnRYkDHUYCEum7wN1ioDzK.jpg;Claudio Encarnación, Luis Alfredo Féliz;Tabaré Blanchard;8.4;104;The Mountain Adventure,Documentary,Sport Claudio Encarnación, Luis Alfredo Féliz Tabaré Blanchard;36
tt23016388;Coldplay Music of The Spheres Live Broadcast from Buenos Aires;Coldplay Music of The Spheres Live Broadcast from Buenos Aires;2022;Music;Argentina, United Kingdom;1.545;/bq90gjU6FfxFfLQ03STSSsm8Ius.jpg;Chris Martin, Guy Berryman, Will Champion, Jon Buckland, Artie Esposito;Paul Dugdale;8.4;92;Coldplay Music of The Spheres Live Broadcast from Buenos Aires Music Chris Martin, Guy Berryman, Will Champion, Jon Buckland, Artie Esposito Paul Dugdale;37
tt7061818;Unfinished Plan: The Path of Alain Johannes;Unfinished Plan: The Path of Alain Johannes;2016;Biography,Documentary,Music;Chile;0.794;/tYQ2dKdVGHbHWA0SAgnOGlqgetU.jpg;;Rodolfo Gárate;8.4;70;Unfinished Plan: The Path of Alain Johannes Biography,Documentary,Music  Rodolfo Gárate;38
tt4057438;The Death of Jaime Roldos;The Death of Jaime Roldos;2013;Documentary;Argentina, Ecuador;0.6;/pLkakPvA9WMk8cChOlf78N2PK6T.jpg;;Lisandra Rivera, Manolo Sarmiento;8.4;61;The Death of Jaime Roldos Documentary  Lisandra Rivera, Manolo Sarmiento;39
tt5069072;Get the Weed;Get the Weed;2017;Comedy;United States of America, Uruguay;1.03;/zf67g4F8e36eKGWuZLOY4iTdvIl.jpg;Denny Brechner, Talma Friedler, Pepe Mujica, Gustavo Olmos, Ignacio Roqueta;;8.4;48;Get the Weed Comedy Denny Brechner, Talma Friedler, Pepe Mujica, Gustavo Olmos, Ignacio Roqueta ;40
tt0970406;Born Without;Born Without;2007;Documentary;Mexico;0.6;/fTcOkFYEH107Q6N4dUrKExf76MH.jpg;;Eva Norvind;8.4;26;Born Without Documentary  Eva Norvind;41
tt0282132;Río Hondo;Río Hondo;1965;Drama,Western;Mexico;0.866;/pCQG3jLvfNNsMd52AhQEZYjX0YP.jpg;Carlos Cortés, Elsa Cárdenas, Alfonso Mejía, Alfredo Leal, Sergio Jurado, Héctor Godoy, Juan Ferrara, Manuel Alvarado, Armando Acosta, Lucía Guilmáin;Rogelio A. González;8.4;19;Río Hondo Drama,Western Carlos Cortés, Elsa Cárdenas, Alfonso Mejía, Alfredo Leal, Sergio Jurado, Héctor Godoy, Juan Ferrara, Manuel Alvarado, Armando Acosta, Lucía Guilmáin Rogelio A. González;42
